STOP,Estadio Borregos
0,
1,
2,
3,
STOP,Cancha de fútbol!Descripción
0,
1,
2,
3,
STOP,Prepa Tec!Descripción
0,
1,
2,
3,
STOP,Canchas de Tenis!Descripción
0,
1,
2,
3,
STOP,Salón de Congresos!Descripción
0,
1,
2,
3,
STOP,Edificio 9!Descripción
0,
1,
2,
3,
STOP,Arquitectura!Descripción
0,
1,
2,
3,
STOP,Residencias!Descripción
0,
1,
2,
3,
STOP,Borrego Cósmico!Descripción
0,
1,
2,
3,
STOP,Estacionamiento!Descripción
0,
1,
2,
3,
STOP,Food Station!Descripción
0,
1,
2,
3,
STOP,Punto Azul!Descripción
0,
1,
2,
3,
STOP,OXXO!Descripción
0,
1,
2,
3,
STOP,Humanidades y Ciencias Sociales!Descripción
0,
1,
2,
3,
STOP,Ingenieria!Descripción
0,
1,
2,
3,
STOP,Biotecnología!Descripción
0,
1,
2,
3,
STOP,Biblioteca!Descripción
0,
1,
2,
3,
STOP,NULL
0,NULL
1,NULL
2,NULL
3,NULL
